id_venta,id_itinerario,id_pasajero,id_ruta,id_empresa,fecha_venta,fecha_viaje,numero_asiento,monto_pagado,canal_venta,estado_pasaje,descuento_aplicado,nombre_pasajero_registrado,observaciones
1,5,10,2,2,2025-06-11,2025-07-09,36,140.0,Telefono,Viajado,0.0,GLORIA BEATRIZ ARCE VILLANUEVA,
2,1,13,1,1,2022-12-13,2023-01-02,37,123.12,Web,Viajado,10.0,FERNANDO JOSE AGUILAR SALINAS,Pasaje con equipaje extra
3,9,20,5,12,2023-10-24,2023-11-16,22,162.0,Telefono,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Pasaje con equipaje extra
4,15,13,11,13,2024-12-23,2025-01-14,21,9.1,Ventanilla,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,
5,5,18,2,2,2024-09-18,2024-10-10,15,147.0,Ventanilla,Viajado,0.0,SILVIA ROSARIO MONTAÑO PEREZ,Pasaje con equipaje extra
6,7,14,3,3,2023-03-30,2023-04-28,41,108.9,Web,Viajado,0.0,CLAUDIA VERONICA SALINAS IBAÑEZ,Pasaje con equipaje extra
7,5,18,2,2,2025-02-19,2025-03-04,42,131.6,Agente,Viajado,0.0,SILVIA ROSARIO MONTAÑO PEREZ,Pasaje con equipaje extra
8,1,4,1,1,2023-04-15,2023-05-10,25,97.2,Ventanilla,Viajado,10.0,ANA LUISA CONDORI HUANCA,
9,14,14,10,13,2025-12-12,2025-12-24,46,22.5,Telefono,Viajado,10.0,CLAUDIA VERONICA SALINAS IBAÑEZ,Pasajero adulto mayor
10,10,13,6,10,2025-02-15,2025-02-19,32,78.3,Telefono,Cancelado,0.0,FERNANDO JOSE AGUILAR SALINAS,
11,14,6,10,13,2023-06-16,2023-06-21,4,28.5,Ventanilla,Viajado,0.0,ROSA ANGELICA CHOQUE LIMACHI,
12,15,17,11,13,2024-08-06,2024-08-07,30,9.2,Ventanilla,Cancelado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Pasaje con equipaje extra
13,1,3,1,1,2024-05-10,2024-05-20,30,106.92,Agente,Viajado,10.0,PEDRO ANTONIO GUTIERREZ VACA,Pasajero adulto mayor
14,8,8,4,11,2024-11-15,2024-12-12,7,72.8,Web,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,
15,13,17,8,4,2025-11-14,2025-11-29,9,30.8,Telefono,Cancelado,0.0,RICARDO ERNESTO PONCE MONTAÑO,
16,13,12,8,4,2023-12-19,2024-01-07,44,31.15,Telefono,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,
17,4,4,1,5,2024-12-17,2024-12-30,34,129.6,Telefono,Viajado,0.0,ANA LUISA CONDORI HUANCA,Pasajero adulto mayor
18,2,17,1,1,2024-04-21,2024-05-09,7,135.6,Telefono,Viajado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Pasajero adulto mayor
19,3,10,1,3,2023-06-18,2023-07-13,11,132.0,Web,Viajado,0.0,  JUAN   carlos  ,Sin observaciones
20,7,4,3,3,2023-07-22,2023-08-21,7,94.6,Web,Viajado,0.0,,Pasajero adulto mayor
21,3,17,1,3,2025-09-19,2025-09-25,33,111.24,Web,Viajado,10.0,RICARDO ERNESTO PONCE MONTAÑO,Pasajero adulto mayor
22,5,17,2,2,2025-02-22,2025-03-20,41,151.2,Agente,Viajado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Pasaje con equipaje extra
23,15,12,11,13,2025-02-21,2025-02-26,46,9.4,Agente,Viajado,0.0,mARIA eLENA fLoReS,
24,7,8,3,3,2025-07-03,2025-07-11,37,118.8,Agente,Cancelado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasaje con equipaje extra
25,11,17,7,4,2023-10-31,2023-11-19,8,35.2,Web,Viajado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Pasajero adulto mayor
26,4,8,1,5,2025-10-26,2025-11-01,28,122.4,Ventanilla,Cancelado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasaje con equipaje extra
27,9,18,5,12,2025-05-10,2025-05-31,15,147.0,Web,Viajado,0.0,SILVIA ROSARIO MONTAÑO PEREZ,
28,8,11,4,11,2025-08-18,2025-09-13,24,69.3,Ventanilla,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones
29,10,2,6,10,2023-05-25,2023-06-17,36,82.62,Telefono,Viajado,10.0,MARIA ELENA FLORES TARQUI,Pasajero adulto mayor
30,9,18,5,12,2023-04-28,2023-05-01,34,142.5,Ventanilla,Viajado,0.0,SILVIA ROSARIO MONTAÑO PEREZ,Sin observaciones
31,5,20,2,2,2024-10-31,2024-11-28,45,131.6,Telefono,Viajado,0.0,CARMEN ROSA OPORTO FLORES,
32,1,19,1,1,2025-01-02,2025-01-06,5,116.64,Ventanilla,Viajado,10.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra
33,9,9,5,12,2023-12-07,2023-12-29,46,144.0,Web,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Pasaje con equipaje extra
34,15,1,11,13,2025-04-04,2025-05-02,43,11.2,Telefono,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Sin observaciones
35,13,12,8,4,2025-06-17,2025-06-18,30,33.25,Web,Cancelado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Pasajero adulto mayor
36,8,3,4,11,2024-11-28,2024-12-21,11,78.4,Agente,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,
37,6,1,2,8,2025-07-22,2025-07-27,16,124.74,Web,Viajado,10.0,JUAN CARLOS MAMANI QUISPE,
38,8,20,4,11,2025-05-07,2025-05-18,42,71.4,Web,Viajado,0.0,  JUAN   carlos  ,Pasajero adulto mayor
39,4,13,1,5,2023-12-21,2023-12-23,24,120.0,Ventanilla,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Pasajero adulto mayor
40,8,13,4,11,2024-04-24,2024-04-25,11,73.5,Telefono,Viajado,0.0,,
41,10,19,6,10,2025-07-26,2025-08-09,18,84.6,Ventanilla,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra
42,13,3,8,4,2024-12-09,2024-12-19,13,34.34,Telefono,Viajado,10.0,PEDRO ANTONIO GUTIERREZ VACA,Pasaje con equipaje extra
43,8,9,4,11,2025-12-16,2025-12-24,37,54.18,Agente,Viajado,10.0,LUIS FERNANDO MENDOZA ARCE,Pasaje con equipaje extra
44,5,8,2,2,2024-12-14,2025-01-12,27,128.8,Web,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Sin observaciones
45,14,12,10,13,2023-08-26,2023-09-25,13,25.5,Ventanilla,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Pasaje con equipaje extra
46,12,6,7,6,2024-01-22,2024-02-10,20,33.48,Web,Viajado,10.0,mARIA eLENA fLoReS,Pasaje con equipaje extra
47,4,20,1,5,2023-04-12,2023-04-29,2,112.32,Ventanilla,Viajado,10.0,CARMEN ROSA OPORTO FLORES,Pasaje con equipaje extra
48,11,20,7,4,2024-01-23,2024-02-14,20,32.4,Web,Viajado,10.0,CARMEN ROSA OPORTO FLORES,Sin observaciones
49,11,6,7,4,2023-11-18,2023-12-17,44,45.6,Agente,Viajado,0.0,ROSA ANGELICA CHOQUE LIMACHI,Pasaje con equipaje extra
50,5,2,2,2,2023-12-05,2023-12-12,44,124.6,Agente,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasaje con equipaje extra
51,8,4,4,11,2025-08-12,2025-08-30,12,78.4,Agente,Viajado,0.0,ANA LUISA CONDORI HUANCA,Pasaje con equipaje extra
52,5,9,2,2,2024-07-14,2024-07-27,12,138.6,Telefono,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Sin observaciones
53,8,19,4,11,2023-06-07,2023-06-29,37,58.59,Web,Viajado,10.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra
54,10,20,6,10,2023-12-21,2023-12-29,18,82.8,Web,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Pasaje con equipaje extra
55,9,7,5,12,2024-05-14,2024-05-16,17,132.3,Agente,Cancelado,10.0,MIGUEL ANGEL QUISPE MAMANI,Pasajero adulto mayor
56,6,19,2,8,2023-06-06,2023-06-29,40,145.6,Agente,Cancelado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra
57,12,18,7,6,2024-03-19,2024-04-06,39,38.0,Telefono,Viajado,0.0,  JUAN   carlos  ,Pasaje con equipaje extra
58,7,16,3,3,2023-11-02,2023-11-29,43,101.97,Web,Cancelado,10.0,MONICA CECILIA CASTRO PONCE,
59,11,3,7,4,2023-07-09,2023-07-27,7,30.6,Telefono,Viajado,10.0,PEDRO ANTONIO GUTIERREZ VACA,
60,4,6,1,5,2023-07-07,2023-07-25,13,108.0,Telefono,Viajado,10.0,,Pasaje con equipaje extra
61,10,16,6,10,2023-03-28,2023-03-31,6,76.14,Agente,Viajado,10.0,MONICA CECILIA CASTRO PONCE,
62,15,17,11,13,2024-08-16,2024-08-29,20,11.1,Web,Viajado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Pasaje con equipaje extra
63,1,14,1,1,2023-12-30,2024-01-08,15,105.6,Agente,Viajado,0.0,CLAUDIA VERONICA SALINAS IBAÑEZ,Pasaje con equipaje extra
64,15,13,11,13,2024-10-11,2024-10-19,28,9.4,Web,Cancelado,0.0,FERNANDO JOSE AGUILAR SALINAS,Sin observaciones
65,11,6,7,4,2025-07-17,2025-08-06,7,40.0,Telefono,Viajado,0.0,ROSA ANGELICA CHOQUE LIMACHI,Pasaje con equipaje extra
66,14,6,10,13,2023-03-26,2023-03-29,15,21.8,Telefono,Cancelado,20.0,ROSA ANGELICA CHOQUE LIMACHI,
67,6,19,2,8,2025-06-07,2025-07-04,21,131.6,Ventanilla,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,
68,13,9,8,4,2024-08-31,2024-09-22,46,35.35,Ventanilla,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Sin observaciones
69,4,17,1,5,2025-07-03,2025-07-08,9,123.6,Agente,Viajado,0.0,mARIA eLENA fLoReS,Pasaje con equipaje extra
70,7,16,3,3,2024-09-16,2024-09-22,10,105.6,Ventanilla,Viajado,0.0,MONICA CECILIA CASTRO PONCE,Pasajero adulto mayor
71,1,7,1,1,2024-05-08,2024-05-29,28,106.8,Ventanilla,Cancelado,0.0,MIGUEL ANGEL QUISPE MAMANI,Pasaje con equipaje extra
72,12,16,7,6,2024-05-29,2024-06-24,16,45.2,Telefono,Viajado,0.0,MONICA CECILIA CASTRO PONCE,
73,2,12,1,1,2025-03-20,2025-04-16,2,104.4,Web,Cancelado,0.0,PATRICIA ISABEL RAMOS AGUILAR,
74,12,15,7,6,2025-11-03,2025-11-23,29,41.6,Web,Viajado,0.0,JORGE EDUARDO IBAÑEZ CASTRO,
75,11,2,7,4,2022-12-26,2023-01-07,12,45.2,Agente,Cancelado,0.0,MARIA ELENA FLORES TARQUI,Sin observaciones
76,3,3,1,3,2024-03-15,2024-03-21,26,96.12,Ventanilla,Viajado,10.0,  JUAN   carlos  ,Pasaje con equipaje extra
77,2,20,1,1,2023-07-17,2023-08-08,25,102.0,Ventanilla,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Pasaje con equipaje extra
78,10,9,6,10,2023-04-10,2023-04-16,24,94.5,Web,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,
79,9,14,5,12,2022-12-12,2023-01-07,5,160.5,Telefono,Viajado,0.0,CLAUDIA VERONICA SALINAS IBAÑEZ,
80,1,1,1,1,2025-06-04,2025-06-30,14,115.56,Telefono,Cancelado,10.0,,Pasaje con equipaje extra
81,5,13,2,2,2023-08-14,2023-09-05,45,145.6,Ventanilla,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Pasaje con equipaje extra
82,4,14,1,5,2025-03-18,2025-04-15,7,129.6,Agente,Viajado,0.0,CLAUDIA VERONICA SALINAS IBAÑEZ,Pasaje con equipaje extra
83,6,2,2,8,2023-11-14,2023-11-22,41,135.8,Ventanilla,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasaje con equipaje extra
84,9,5,5,12,2024-11-03,2024-11-19,11,166.5,Web,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Sin observaciones
85,3,11,1,3,2025-11-07,2025-11-19,1,128.4,Telefono,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,
86,8,4,4,11,2025-08-19,2025-09-18,10,78.4,Telefono,Viajado,0.0,ANA LUISA CONDORI HUANCA,Pasaje con equipaje extra
87,13,7,8,4,2024-07-30,2024-08-01,6,28.35,Web,Cancelado,10.0,MIGUEL ANGEL QUISPE MAMANI,Pasaje con equipaje extra
88,1,2,1,1,2023-10-07,2023-11-01,31,106.92,Web,Viajado,10.0,MARIA ELENA FLORES TARQUI,Pasaje con equipaje extra
89,8,17,4,11,2025-03-10,2025-03-31,43,79.8,Telefono,Viajado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Pasaje con equipaje extra
90,3,4,1,3,2024-01-21,2024-01-30,21,117.72,Ventanilla,Viajado,10.0,ANA LUISA CONDORI HUANCA,Pasajero adulto mayor
91,12,14,7,6,2025-02-26,2025-03-03,5,38.52,Telefono,Viajado,10.0,CLAUDIA VERONICA SALINAS IBAÑEZ,Pasaje con equipaje extra
92,2,20,1,1,2023-07-01,2023-07-23,37,98.88,Ventanilla,Confirmado,20.0,mARIA eLENA fLoReS,
93,10,16,6,10,2024-06-02,2024-06-25,22,86.4,Agente,Viajado,0.0,MONICA CECILIA CASTRO PONCE,Pasajero adulto mayor
94,8,2,4,11,2024-04-29,2024-05-18,45,79.1,Ventanilla,Cancelado,0.0,MARIA ELENA FLORES TARQUI,
95,3,10,1,3,2023-05-24,2023-05-28,6,100.44,Web,Cancelado,10.0,  JUAN   carlos  ,Pasajero adulto mayor
96,12,14,7,6,2025-04-01,2025-04-09,34,44.0,Telefono,Cancelado,0.0,CLAUDIA VERONICA SALINAS IBAÑEZ,Pasajero adulto mayor
97,12,8,7,6,2023-02-17,2023-03-18,5,40.0,Web,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasaje con equipaje extra
98,5,15,2,2,2024-02-14,2024-02-18,15,144.2,Agente,Viajado,0.0,JORGE EDUARDO IBAÑEZ CASTRO,
99,13,8,8,4,2023-08-02,2023-08-04,34,38.85,Ventanilla,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasaje con equipaje extra
100,12,3,7,6,2024-11-24,2024-12-04,24,44.0,Ventanilla,Cancelado,0.0,,Pasaje con equipaje extra
101,15,14,11,13,2025-11-03,2025-11-12,29,10.9,Agente,Viajado,0.0,CLAUDIA VERONICA SALINAS IBAÑEZ,Pasajero adulto mayor
102,3,3,1,3,2025-06-02,2025-06-04,30,130.8,Ventanilla,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,
103,7,20,3,3,2023-08-06,2023-08-22,32,93.5,Web,Cancelado,0.0,CARMEN ROSA OPORTO FLORES,Pasajero adulto mayor
104,14,13,10,13,2024-06-29,2024-07-29,34,26.5,Web,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,
105,1,13,1,1,2024-04-18,2024-04-25,35,123.12,Agente,Viajado,10.0,FERNANDO JOSE AGUILAR SALINAS,
106,1,14,1,1,2023-11-20,2023-12-07,2,91.8,Agente,Cancelado,10.0,CLAUDIA VERONICA SALINAS IBAÑEZ,
107,12,7,7,6,2025-04-21,2025-04-23,22,42.0,Agente,Viajado,0.0,MIGUEL ANGEL QUISPE MAMANI,Pasajero adulto mayor
108,11,8,7,4,2024-03-11,2024-04-04,36,42.0,Web,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,
109,6,15,2,8,2024-12-31,2025-01-21,6,123.2,Ventanilla,Cancelado,0.0,JORGE EDUARDO IBAÑEZ CASTRO,Pasajero adulto mayor
110,1,2,1,1,2023-08-07,2023-08-29,32,116.4,Web,Cancelado,0.0,MARIA ELENA FLORES TARQUI,Pasajero adulto mayor
111,13,15,8,4,2023-08-09,2023-08-30,29,27.09,Ventanilla,Viajado,10.0,JORGE EDUARDO IBAÑEZ CASTRO,Pasaje con equipaje extra
112,13,3,8,4,2023-08-24,2023-09-01,41,39.55,Web,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,
113,15,11,11,13,2024-07-27,2024-08-05,30,9.6,Telefono,Cancelado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,
114,4,5,1,5,2024-10-22,2024-11-18,11,109.2,Web,Viajado,0.0,  JUAN   carlos  ,Pasajero adulto mayor
115,4,1,1,5,2024-09-20,2024-09-30,31,105.6,Web,Viajado,0.0,mARIA eLENA fLoReS,Pasaje con equipaje extra
116,15,1,11,13,2023-05-01,2023-05-20,30,10.3,Web,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Pasajero adulto mayor
117,7,5,3,3,2025-05-17,2025-05-29,39,109.89,Web,Viajado,10.0,CARLOS ALBERTO VARGAS TORREZ,Pasaje con equipaje extra
118,3,16,1,3,2025-01-15,2025-02-10,3,114.0,Web,Viajado,0.0,MONICA CECILIA CASTRO PONCE,
119,2,15,1,1,2023-08-25,2023-09-01,11,118.8,Telefono,Viajado,0.0,JORGE EDUARDO IBAÑEZ CASTRO,
120,1,10,1,1,2025-12-04,2025-12-15,40,103.68,Web,Cancelado,10.0,,Pasaje con equipaje extra
121,11,18,7,4,2024-04-11,2024-04-26,35,45.2,Web,Viajado,0.0,SILVIA ROSARIO MONTAÑO PEREZ,
122,14,5,10,13,2025-08-29,2025-09-25,18,19.58,Telefono,Viajado,10.0,CARLOS ALBERTO VARGAS TORREZ,Sin observaciones
123,6,9,2,8,2025-01-07,2025-01-28,19,114.66,Web,Viajado,10.0,LUIS FERNANDO MENDOZA ARCE,Pasajero adulto mayor
124,6,7,2,8,2025-08-20,2025-08-22,44,147.0,Web,Confirmado,0.0,MIGUEL ANGEL QUISPE MAMANI,Pasajero adulto mayor
125,9,13,5,12,2025-04-01,2025-04-19,28,157.5,Telefono,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Pasaje con equipaje extra
126,7,18,3,3,2024-07-08,2024-07-22,12,111.1,Web,Viajado,0.0,SILVIA ROSARIO MONTAÑO PEREZ,Pasaje con equipaje extra
127,15,10,11,13,2025-09-18,2025-09-27,26,10.6,Ventanilla,Cancelado,0.0,GLORIA BEATRIZ ARCE VILLANUEVA,Pasaje con equipaje extra
128,14,2,10,13,2023-07-31,2023-08-08,18,24.08,Agente,Cancelado,10.0,MARIA ELENA FLORES TARQUI,Pasajero adulto mayor
129,3,3,1,3,2023-03-03,2023-03-26,1,118.8,Ventanilla,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Pasajero adulto mayor
130,11,20,7,4,2024-04-22,2024-05-04,8,30.6,Agente,Viajado,10.0,CARMEN ROSA OPORTO FLORES,
131,1,13,1,1,2023-01-04,2023-01-20,11,116.4,Ventanilla,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,
132,5,20,2,2,2024-01-12,2024-01-13,7,158.2,Ventanilla,Viajado,0.0,CARMEN ROSA OPORTO FLORES,
133,5,17,2,2,2025-10-19,2025-11-10,37,140.0,Agente,Viajado,0.0,  JUAN   carlos  ,Pasajero adulto mayor
134,13,5,8,4,2025-03-02,2025-03-26,37,37.45,Telefono,Confirmado,0.0,CARLOS ALBERTO VARGAS TORREZ,
135,13,19,8,4,2025-03-24,2025-04-14,43,35.91,Web,Viajado,10.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra
136,5,13,2,2,2024-03-25,2024-04-07,42,138.6,Agente,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Pasaje con equipaje extra
137,14,8,10,13,2024-04-04,2024-04-12,12,23.5,Ventanilla,Cancelado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Sin observaciones
138,11,6,7,4,2023-03-06,2023-03-11,38,31.32,Agente,Viajado,10.0,mARIA eLENA fLoReS,
139,5,17,2,2,2023-12-04,2023-12-16,17,114.66,Ventanilla,Viajado,10.0,RICARDO ERNESTO PONCE MONTAÑO,Pasaje con equipaje extra
140,11,15,7,4,2023-12-24,2024-01-01,1,41.04,Agente,Viajado,10.0,,Sin observaciones
141,3,9,1,3,2023-11-16,2023-12-13,46,117.6,Web,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Pasaje con equipaje extra
142,12,10,7,6,2023-11-22,2023-11-29,40,42.8,Agente,Cancelado,0.0,GLORIA BEATRIZ ARCE VILLANUEVA,Pasajero adulto mayor
143,3,5,1,3,2023-04-01,2023-04-05,13,106.92,Web,Viajado,10.0,CARLOS ALBERTO VARGAS TORREZ,
144,15,8,11,13,2023-08-09,2023-08-10,13,11.0,Telefono,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasaje con equipaje extra
145,14,10,10,13,2024-10-24,2024-11-11,24,23.25,Web,Viajado,0.0,GLORIA BEATRIZ ARCE VILLANUEVA,Sin observaciones
146,1,6,1,1,2025-03-19,2025-04-14,33,134.4,Web,Viajado,0.0,ROSA ANGELICA CHOQUE LIMACHI,Sin observaciones
147,9,16,5,12,2025-06-26,2025-06-28,5,162.0,Telefono,Viajado,0.0,MONICA CECILIA CASTRO PONCE,Pasajero adulto mayor
148,13,20,8,4,2025-04-01,2025-04-19,39,27.41,Telefono,Viajado,10.0,CARMEN ROSA OPORTO FLORES,Pasajero adulto mayor
149,5,17,2,2,2023-10-26,2023-11-18,38,152.6,Web,Viajado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Pasaje con equipaje extra
150,11,6,7,4,2025-01-14,2025-02-11,32,37.6,Ventanilla,Viajado,0.0,ROSA ANGELICA CHOQUE LIMACHI,Pasajero adulto mayor
151,1,6,1,1,2024-10-20,2024-11-18,17,111.6,Web,Viajado,0.0,ROSA ANGELICA CHOQUE LIMACHI,Pasaje con equipaje extra
152,13,6,8,4,2023-08-15,2023-08-19,41,32.2,Web,Viajado,0.0,  JUAN   carlos  ,Pasajero adulto mayor
153,5,17,2,2,2023-05-16,2023-05-22,32,137.34,Telefono,Viajado,10.0,RICARDO ERNESTO PONCE MONTAÑO,
154,7,15,3,3,2025-09-04,2025-09-27,2,97.9,Agente,Viajado,0.0,JORGE EDUARDO IBAÑEZ CASTRO,Pasajero adulto mayor
155,13,15,8,4,2023-12-20,2024-01-06,6,29.61,Web,Viajado,10.0,JORGE EDUARDO IBAÑEZ CASTRO,
156,11,18,7,4,2023-09-16,2023-10-15,40,45.2,Ventanilla,Viajado,0.0,SILVIA ROSARIO MONTAÑO PEREZ,Pasajero adulto mayor
157,15,5,11,13,2024-02-06,2024-02-13,25,8.46,Ventanilla,Viajado,10.0,CARLOS ALBERTO VARGAS TORREZ,Pasajero adulto mayor
158,4,7,1,5,2024-09-20,2024-09-22,32,110.16,Agente,Viajado,10.0,MIGUEL ANGEL QUISPE MAMANI,Pasaje con equipaje extra
159,9,8,5,12,2023-02-04,2023-02-22,39,129.0,Telefono,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasaje con equipaje extra
160,8,15,4,11,2023-11-10,2023-11-26,22,65.8,Ventanilla,Viajado,0.0,,Pasaje con equipaje extra
161,10,17,6,10,2023-10-05,2023-10-12,29,84.6,Telefono,Cancelado,0.0,mARIA eLENA fLoReS,
