id_venta,id_itinerario,id_pasajero,id_ruta,id_empresa,fecha_venta,fecha_viaje,numero_asiento,monto_pagado,canal_venta,estado_pasaje,descuento_aplicado,nombre_pasajero_registrado,observaciones,anio_venta,mes_venta,cepal_modo_transporte,cepal_volumen_pasajeros_km,cepal_unidad
1,13,7,8,4,2023-04-03,2023-04-27,21,34.02,Telefono,Viajado,10.0,MIGUEL ANGEL QUISPE MAMANI,Pasajero adulto mayor,2023,4,Sin dato,0.0,Sin dato CEPALSTAT
2,6,13,2,8,2024-06-19,2024-06-28,9,159.6,Telefono,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Sin observaciones,2024,6,Sin dato,0.0,Sin dato CEPALSTAT
3,7,1,3,3,2024-06-08,2024-06-19,5,125.4,Web,Cancelado,0.0,JUAN CARLOS MAMANI QUISPE,Sin observaciones,2024,6,Sin dato,0.0,Sin dato CEPALSTAT
4,12,5,7,6,2025-04-03,2025-04-06,7,30.96,Web,Viajado,10.0,CARLOS ALBERTO VARGAS TORREZ,Sin observaciones,2025,4,Sin dato,0.0,Sin dato CEPALSTAT
5,5,8,2,2,2024-06-17,2024-07-07,46,127.4,Agente,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Sin observaciones,2024,6,Sin dato,0.0,Sin dato CEPALSTAT
6,5,5,2,2,2025-01-15,2025-01-27,40,133.0,Web,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Pasaje con equipaje extra,2025,1,Sin dato,0.0,Sin dato CEPALSTAT
7,7,13,3,3,2024-11-02,2024-11-30,19,89.1,Web,Viajado,10.0,FERNANDO JOSE AGUILAR SALINAS,Pasaje con equipaje extra,2024,11,Sin dato,0.0,Sin dato CEPALSTAT
8,3,5,1,3,2025-04-19,2025-04-29,9,126.0,Web,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Pasaje con equipaje extra,2025,4,Sin dato,0.0,Sin dato CEPALSTAT
9,2,16,1,1,2025-06-24,2025-07-09,21,118.8,Ventanilla,Viajado,0.0,MONICA CECILIA CASTRO PONCE,Sin observaciones,2025,6,Sin dato,0.0,Sin dato CEPALSTAT
10,12,6,7,6,2024-12-10,2024-12-27,36,39.6,Ventanilla,Viajado,10.0,ROSA ANGELICA CHOQUE LIMACHI,Sin observaciones,2024,12,Sin dato,0.0,Sin dato CEPALSTAT
11,12,10,7,6,2024-03-11,2024-03-17,40,34.4,Ventanilla,Viajado,0.0,GLORIA BEATRIZ ARCE VILLANUEVA,Pasaje con equipaje extra,2024,3,Sin dato,0.0,Sin dato CEPALSTAT
12,14,6,10,13,2024-08-26,2024-09-21,30,24.3,Ventanilla,Viajado,10.0,ROSA ANGELICA CHOQUE LIMACHI,Sin observaciones,2024,8,Sin dato,0.0,Sin dato CEPALSTAT
13,1,14,1,1,2023-03-17,2023-04-02,45,104.76,Telefono,Viajado,10.0,CLAUDIA VERONICA SALINAS IBA?EZ,Sin observaciones,2023,3,Sin dato,0.0,Sin dato CEPALSTAT
14,15,19,11,13,2023-05-02,2023-05-21,36,8.9,Web,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra,2023,5,Sin dato,0.0,Sin dato CEPALSTAT
15,8,3,4,11,2024-11-14,2024-11-25,12,79.1,Web,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Sin observaciones,2024,11,Sin dato,0.0,Sin dato CEPALSTAT
16,15,10,11,13,2023-06-16,2023-07-11,36,11.4,Telefono,Cancelado,0.0,GLORIA BEATRIZ ARCE VILLANUEVA,Sin observaciones,2023,6,Sin dato,0.0,Sin dato CEPALSTAT
17,5,2,2,2,2022-12-23,2023-01-10,1,155.4,Telefono,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasajero adulto mayor,2022,12,Transporte Aereo,4424351213.328,kilómetros de pasajeros facturados
18,12,10,7,6,2023-02-16,2023-03-08,46,31.68,Ventanilla,Viajado,10.0,GLORIA BEATRIZ ARCE VILLANUEVA,Sin observaciones,2023,2,Sin dato,0.0,Sin dato CEPALSTAT
