id_venta,id_itinerario,id_pasajero,id_ruta,id_empresa,fecha_venta,fecha_viaje,numero_asiento,monto_pagado,canal_venta,estado_pasaje,descuento_aplicado,nombre_pasajero_registrado,observaciones,anio_venta,mes_venta
1,13,7,8,4,2023-04-03,2023-04-27,21,34.02,Telefono,Viajado,10.0,MIGUEL ANGEL QUISPE MAMANI,Pasajero adulto mayor,2023,4
2,6,13,2,8,2024-06-19,2024-06-28,9,159.6,Telefono,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Sin observaciones,2024,6
3,7,1,3,3,2024-06-08,2024-06-19,5,125.4,Web,Cancelado,0.0,JUAN CARLOS MAMANI QUISPE,Sin observaciones,2024,6
4,12,5,7,6,2025-04-03,2025-04-06,7,30.96,Web,Viajado,10.0,CARLOS ALBERTO VARGAS TORREZ,Sin observaciones,2025,4
5,5,8,2,2,2024-06-17,2024-07-07,46,127.4,Agente,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Sin observaciones,2024,6
6,5,5,2,2,2025-01-15,2025-01-27,40,133.0,Web,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Pasaje con equipaje extra,2025,1
7,7,13,3,3,2024-11-02,2024-11-30,19,89.1,Web,Viajado,10.0,FERNANDO JOSE AGUILAR SALINAS,Pasaje con equipaje extra,2024,11
8,3,5,1,3,2025-04-19,2025-04-29,9,126.0,Web,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Pasaje con equipaje extra,2025,4
9,2,16,1,1,2025-06-24,2025-07-09,21,118.8,Ventanilla,Viajado,0.0,MONICA CECILIA CASTRO PONCE,Sin observaciones,2025,6
10,12,6,7,6,2024-12-10,2024-12-27,36,39.6,Ventanilla,Viajado,10.0,ROSA ANGELICA CHOQUE LIMACHI,Sin observaciones,2024,12
11,12,10,7,6,2024-03-11,2024-03-17,40,34.4,Ventanilla,Viajado,0.0,GLORIA BEATRIZ ARCE VILLANUEVA,Pasaje con equipaje extra,2024,3
12,14,6,10,13,2024-08-26,2024-09-21,30,24.3,Ventanilla,Viajado,10.0,ROSA ANGELICA CHOQUE LIMACHI,Sin observaciones,2024,8
13,1,14,1,1,2023-03-17,2023-04-02,45,104.76,Telefono,Viajado,10.0,CLAUDIA VERONICA SALINAS IBA?EZ,Sin observaciones,2023,3
14,15,19,11,13,2023-05-02,2023-05-21,36,8.9,Web,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra,2023,5
15,8,3,4,11,2024-11-14,2024-11-25,12,79.1,Web,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Sin observaciones,2024,11
16,15,10,11,13,2023-06-16,2023-07-11,36,11.4,Telefono,Cancelado,0.0,GLORIA BEATRIZ ARCE VILLANUEVA,Sin observaciones,2023,6
17,5,2,2,2,2022-12-23,2023-01-10,1,155.4,Telefono,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasajero adulto mayor,2022,12
18,12,10,7,6,2023-02-16,2023-03-08,46,31.68,Ventanilla,Viajado,10.0,GLORIA BEATRIZ ARCE VILLANUEVA,Sin observaciones,2023,2
19,3,11,1,3,2023-04-03,2023-04-13,14,111.6,Telefono,Viajado,0.0,JUAN CARLOS,Sin observaciones,2023,4
20,9,6,5,12,2023-04-26,2023-05-02,10,150.0,Telefono,Viajado,0.0,SIN REGISTRO,Sin observaciones,2023,4
21,2,5,1,1,2023-08-15,2023-09-07,13,111.6,Agente,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Pasaje con equipaje extra,2023,8
22,4,19,1,5,2024-07-21,2024-08-05,41,96.12,Web,Viajado,10.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra,2024,7
23,5,1,2,2,2024-08-08,2024-08-13,25,114.66,Agente,Viajado,10.0,MARIA ELENA FLORES,Sin observaciones,2024,8
24,6,11,2,8,2023-11-11,2023-12-08,8,131.6,Ventanilla,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2023,11
25,5,11,2,2,2025-01-27,2025-02-01,41,144.2,Telefono,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2025,1
26,11,9,7,4,2023-12-30,2024-01-05,24,30.96,Telefono,Viajado,10.0,LUIS FERNANDO MENDOZA ARCE,Pasaje con equipaje extra,2023,12
27,13,11,8,4,2023-01-03,2023-01-04,4,28.04,Ventanilla,Viajado,10.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2023,1
28,11,8,7,4,2023-07-29,2023-08-05,34,34.0,Agente,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Sin observaciones,2023,7
29,7,15,3,3,2025-08-08,2025-08-17,46,109.89,Ventanilla,Cancelado,10.0,JORGE EDUARDO IBA?EZ CASTRO,Pasaje con equipaje extra,2025,8
30,13,1,8,4,2025-07-28,2025-08-08,11,32.9,Ventanilla,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Pasaje con equipaje extra,2025,7
31,5,3,2,2,2025-06-04,2025-06-19,19,128.8,Agente,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Pasajero adulto mayor,2025,6
32,13,8,8,4,2025-08-19,2025-08-31,41,39.2,Ventanilla,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasaje con equipaje extra,2025,8
33,5,18,2,2,2025-04-12,2025-05-10,14,120.4,Telefono,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Pasajero adulto mayor,2025,4
34,4,20,1,5,2025-03-27,2025-04-17,8,129.6,Agente,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Pasajero adulto mayor,2025,3
